,Time_UTC,System_ID,Time_UTC_1,Seconds_in_day,Altitude,Latitude,Longitude,Temperature_diff_K,Absolute_temperature_degC,Relhumidity_diff_percent,Relhumidity_percent,Vapourpressure_diff_hPa,Vapourpressure_hPa,GPS_Altitude,T_adjusted,T_diff_adjusted,id,lc_tree,lc_pavd,lc_bldn,lc_grss,lc_watr,lc_soil
10,7/5/2022 19:33,1,7/5/2022 19:33,70408,293.2,47.992115,7.846942,0.74,25.42,-0.9,39.9,0.515,13.208,282.6031799,25.45642067,0.77642067,17238.0,0.2336,0.2644,0.5008,0.0012,0.0,0.0
13,7/5/2022 19:33,1,7/5/2022 19:33,70436,295.5,47.992317,7.848002,0.64,25.32,-0.5,40.3,0.573,13.266,284.0997009,25.36614806,0.686148056,17240.0,0.0844,0.332,0.5824,0.0012,0.0,0.0
14,7/5/2022 19:34,1,7/5/2022 19:34,70450,296.5,47.992465,7.848352,0.75,25.42,-0.1,40.6,0.813,13.439,285.2249756,25.47346234,0.803462341,17580.0,0.0404,0.4576,0.5012,0.0008,0.0,0.0
15,7/5/2022 19:34,1,7/5/2022 19:34,70478,297.0,47.991468,7.848522,0.75,25.42,-0.1,40.5,0.79,13.416,283.5862732,25.46281078,0.792810776,16560.0,0.0112,0.4168,0.572,0.0,0.0,0.0
16,7/5/2022 19:34,1,7/5/2022 19:34,70487,297.7,47.991118,7.848532,0.75,25.42,0.0,40.7,0.836,13.462,282.9820862,25.45888356,0.78888356,16560.0,0.0112,0.4168,0.572,0.0,0.0,0.0
17,7/5/2022 19:34,1,7/5/2022 19:34,70496,298.3,47.99082,7.84853,0.75,25.42,0.3,41.0,0.928,13.555,281.3695374,25.44840199,0.778401993,16220.0,0.0064,0.488,0.5052,0.0004,0.0,0.0
18,7/5/2022 19:35,1,7/5/2022 19:35,70502,298.0,47.990835,7.848545,0.78,25.42,0.4,41.2,0.984,13.624,281.3695374,25.44840199,0.808401993,16220.0,0.0064,0.488,0.5052,0.0004,0.0,0.0
19,7/5/2022 19:35,1,7/5/2022 19:35,70511,298.1,47.990837,7.848545,0.78,25.42,0.5,41.3,1.03,13.67,281.3695374,25.44840199,0.808401993,16220.0,0.0064,0.488,0.5052,0.0004,0.0,0.0
20,7/5/2022 19:35,1,7/5/2022 19:35,70544,302.9,47.991277,7.848445,0.78,25.42,0.7,41.5,1.099,13.74,282.5553894,25.45611003,0.816110031,16560.0,0.0112,0.4168,0.572,0.0,0.0,0.0
21,7/5/2022 19:35,1,7/5/2022 19:35,70550,305.2,47.991603,7.84847,0.68,25.32,0.2,41.0,0.856,13.496,283.6714783,25.36336461,0.723364609,16900.0,0.0072,0.408,0.5848,0.0,0.0,0.0
22,7/5/2022 19:35,1,7/5/2022 19:35,70556,305.9,47.991835,7.8485,0.68,25.32,0.0,40.8,0.787,13.427,284.5926514,25.36935223,0.729352234,16900.0,0.0072,0.408,0.5848,0.0,0.0,0.0
23,7/5/2022 19:36,1,7/5/2022 19:36,70566,309.3,47.992135,7.848505,0.71,25.32,-0.1,40.9,0.756,13.45,285.0643311,25.37241815,0.762418152,17240.0,0.0844,0.332,0.5824,0.0012,0.0,0.0
52,7/5/2022 19:42,1,7/5/2022 19:42,70927,283.3,47.99578,7.857225,-0.59,23.88,4.5,46.6,1.118,14.042,287.9764404,23.95134686,-0.518653137,19973.0,0.1696,0.3096,0.5188,0.002,0.0,0.0
55,7/5/2022 19:42,1,7/5/2022 19:42,70971,288.1,47.994367,7.855882,-0.49,23.99,3.6,45.7,0.928,13.852,299.0667725,24.13343402,-0.346565979,18951.0,0.124,0.1744,0.6716,0.03,0.0,0.0
58,7/5/2022 19:43,1,7/5/2022 19:43,70998,291.5,47.993542,7.854917,-0.48,23.99,2.8,45.1,0.713,13.682,298.8291931,24.13188976,-0.338110245,18270.0,0.104,0.2564,0.6332,0.0064,0.0,0.0
60,7/5/2022 19:44,1,7/5/2022 19:44,71054,293.4,47.993407,7.853977,-0.35,24.09,3.1,45.7,0.885,13.958,290.6317444,24.17860634,-0.261393661,18269.0,0.0484,0.1756,0.77,0.006,0.0,0.0
61,7/5/2022 19:44,1,7/5/2022 19:44,71061,293.6,47.993578,7.853878,-0.25,24.19,2.8,45.5,0.906,13.979,290.4696655,24.27755283,-0.162447174,18268.0,0.0756,0.3664,0.5572,0.0008,0.0,0.0
62,7/5/2022 19:44,1,7/5/2022 19:44,71071,293.9,47.993787,7.853797,-0.25,24.19,2.6,45.2,0.82,13.893,290.6773071,24.2789025,-0.161097504,18268.0,0.0756,0.3664,0.5572,0.0008,0.0,0.0
63,7/5/2022 19:44,1,7/5/2022 19:44,71076,292.8,47.993938,7.853752,-0.15,24.29,2.1,44.8,0.775,13.848,290.8022766,24.3797148,-0.060285202,18608.0,0.0356,0.3012,0.6612,0.002,0.0,0.0
64,7/5/2022 19:44,1,7/5/2022 19:44,71086,290.2,47.994175,7.853698,-0.04,24.4,1.7,44.4,0.729,13.802,290.1920776,24.4857485,0.045748505,18608.0,0.0356,0.3012,0.6612,0.002,0.0,0.0
