,Time_UTC,System_ID,Time_UTC_1,Seconds_in_day,Altitude,Latitude,Longitude,Temperature_diff_K,Absolute_temperature_degC,Relhumidity_diff_percent,Relhumidity_percent,Vapourpressure_diff_hPa,Vapourpressure_hPa,GPS_Altitude,T_adjusted,T_diff_adjusted,id,lc_tree,lc_pavd,lc_bldn,lc_grss,lc_watr,lc_soil
0,7/5/2022 19:31,1,7/5/2022 19:31,70283,259.5,47.992228,7.84513,0.78,25.52,-1.0,39.9,0.542,13.288,278.0302429,25.52669658,0.786696579,17235.0,0.2384,0.3772,0.3772,0.0072,0.0,0.0
2,7/5/2022 19:31,1,7/5/2022 19:31,70304,273.3,47.991285,7.845225,0.78,25.52,-1.3,39.6,0.449,13.195,275.7305603,25.51174864,0.771748642,16555.0,0.3628,0.2964,0.3368,0.004,0.0,0.0
3,7/5/2022 19:31,1,7/5/2022 19:31,70311,276.1,47.991112,7.845173,0.68,25.42,-1.3,39.6,0.346,13.092,275.7305603,25.41174864,0.671748642,16555.0,0.3628,0.2964,0.3368,0.004,0.0,0.0
4,7/5/2022 19:32,1,7/5/2022 19:32,70319,277.1,47.99111,7.84518,0.68,25.42,-1.2,39.6,0.37,13.116,275.7305603,25.41174864,0.671748642,16555.0,0.3628,0.2964,0.3368,0.004,0.0,0.0
9,7/5/2022 19:33,1,7/5/2022 19:33,70381,280.2,47.992095,7.84539,0.74,25.42,-1.6,39.2,0.284,12.977,278.388031,25.4290222,0.749022202,17236.0,0.148,0.52,0.3272,0.0048,0.0,0.0
10,7/5/2022 19:33,1,7/5/2022 19:33,70408,293.2,47.992115,7.846942,0.74,25.42,-0.9,39.9,0.515,13.208,282.6031799,25.45642067,0.77642067,17238.0,0.2336,0.2644,0.5008,0.0012,0.0,0.0
11,7/5/2022 19:33,1,7/5/2022 19:33,70418,294.7,47.992098,7.84748,0.84,25.52,-0.6,40.2,0.711,13.404,282.7030945,25.55707011,0.877070114,17239.0,0.2236,0.334,0.4424,0.0,0.0,0.0
12,7/5/2022 19:33,1,7/5/2022 19:33,70427,295.1,47.992152,7.847822,0.74,25.42,-0.5,40.3,0.654,13.347,283.7952271,25.46416898,0.784168976,17239.0,0.2236,0.334,0.4424,0.0,0.0,0.0
13,7/5/2022 19:33,1,7/5/2022 19:33,70436,295.5,47.992317,7.848002,0.64,25.32,-0.5,40.3,0.573,13.266,284.0997009,25.36614806,0.686148056,17240.0,0.0844,0.332,0.5824,0.0012,0.0,0.0
14,7/5/2022 19:34,1,7/5/2022 19:34,70450,296.5,47.992465,7.848352,0.75,25.42,-0.1,40.6,0.813,13.439,285.2249756,25.47346234,0.803462341,17580.0,0.0404,0.4576,0.5012,0.0008,0.0,0.0
15,7/5/2022 19:34,1,7/5/2022 19:34,70478,297.0,47.991468,7.848522,0.75,25.42,-0.1,40.5,0.79,13.416,283.5862732,25.46281078,0.792810776,16560.0,0.0112,0.4168,0.572,0.0,0.0,0.0
16,7/5/2022 19:34,1,7/5/2022 19:34,70487,297.7,47.991118,7.848532,0.75,25.42,0.0,40.7,0.836,13.462,282.9820862,25.45888356,0.78888356,16560.0,0.0112,0.4168,0.572,0.0,0.0,0.0
17,7/5/2022 19:34,1,7/5/2022 19:34,70496,298.3,47.99082,7.84853,0.75,25.42,0.3,41.0,0.928,13.555,281.3695374,25.44840199,0.778401993,16220.0,0.0064,0.488,0.5052,0.0004,0.0,0.0
18,7/5/2022 19:35,1,7/5/2022 19:35,70502,298.0,47.990835,7.848545,0.78,25.42,0.4,41.2,0.984,13.624,281.3695374,25.44840199,0.808401993,16220.0,0.0064,0.488,0.5052,0.0004,0.0,0.0
19,7/5/2022 19:35,1,7/5/2022 19:35,70511,298.1,47.990837,7.848545,0.78,25.42,0.5,41.3,1.03,13.67,281.3695374,25.44840199,0.808401993,16220.0,0.0064,0.488,0.5052,0.0004,0.0,0.0
20,7/5/2022 19:35,1,7/5/2022 19:35,70544,302.9,47.991277,7.848445,0.78,25.42,0.7,41.5,1.099,13.74,282.5553894,25.45611003,0.816110031,16560.0,0.0112,0.4168,0.572,0.0,0.0,0.0
21,7/5/2022 19:35,1,7/5/2022 19:35,70550,305.2,47.991603,7.84847,0.68,25.32,0.2,41.0,0.856,13.496,283.6714783,25.36336461,0.723364609,16900.0,0.0072,0.408,0.5848,0.0,0.0,0.0
22,7/5/2022 19:35,1,7/5/2022 19:35,70556,305.9,47.991835,7.8485,0.68,25.32,0.0,40.8,0.787,13.427,284.5926514,25.36935223,0.729352234,16900.0,0.0072,0.408,0.5848,0.0,0.0,0.0
23,7/5/2022 19:36,1,7/5/2022 19:36,70566,309.3,47.992135,7.848505,0.71,25.32,-0.1,40.9,0.756,13.45,285.0643311,25.37241815,0.762418152,17240.0,0.0844,0.332,0.5824,0.0012,0.0,0.0
24,7/5/2022 19:36,1,7/5/2022 19:36,70575,309.1,47.992332,7.848647,0.71,25.32,-0.1,40.9,0.756,13.45,285.5387573,25.37550192,0.765501923,17241.0,0.2348,0.436,0.328,0.0012,0.0,0.0
26,7/5/2022 19:36,1,7/5/2022 19:36,70612,304.1,47.992088,7.850458,0.6,25.21,0.3,41.3,0.812,13.506,283.6516418,25.25323567,0.643235672,17243.0,0.2828,0.4052,0.3068,0.0052,0.0,0.0
