Time_UTC,System_ID,Time_UTC,Seconds_in_day,Altitude,Latitude,Longitude,Temperature_diff_K,Absolute_temperature_degC,Relhumidity_diff_percent,Relhumidity_percent,Vapourpressure_diff_hPa,Vapourpressure_hPa,SAMPLE_1,T_adjusted,T_diff_adjusted
2022/07/05 19:31:24,1,2022/07/05 19:31:24,70283,259.5,47.992228,7.84513,0.78,25.52,-1.0,39.9,0.542,13.288,278.030242919922,25.526696578979493,0.7866965789794935
2022/07/05 19:31:33,1,2022/07/05 19:31:33,70293,265.6,47.99179,7.845193,0.78,25.52,-1.5,39.4,0.379,13.125,277.650909423828,25.524230911254882,0.7842309112548829
2022/07/05 19:31:45,1,2022/07/05 19:31:45,70304,273.3,47.991285,7.845225,0.78,25.52,-1.3,39.6,0.449,13.195,275.730560302734,25.51174864196777,0.7717486419677708
2022/07/05 19:31:51,1,2022/07/05 19:31:51,70311,276.1,47.991112,7.845173,0.68,25.42,-1.3,39.6,0.346,13.092,275.730560302734,25.411748641967772,0.6717486419677708
2022/07/05 19:32:00,1,2022/07/05 19:32:00,70319,277.1,47.99111,7.84518,0.68,25.42,-1.2,39.6,0.37,13.116,275.730560302734,25.411748641967772,0.6717486419677708
2022/07/05 19:32:28,1,2022/07/05 19:32:28,70348,278.7,47.990903,7.845107,0.7,25.42,-1.0,39.6,0.469,13.116,273.778656005859,25.399061264038085,0.6790612640380835
2022/07/05 19:32:34,1,2022/07/05 19:32:34,70354,279.6,47.99088,7.845237,0.7,25.42,-1.3,39.3,0.376,13.023,274.874938964844,25.40618710327149,0.6861871032714866
2022/07/05 19:32:41,1,2022/07/05 19:32:41,70361,279.4,47.991052,7.84541,0.7,25.42,-1.4,39.2,0.33,12.977,274.874938964844,25.40618710327149,0.6861871032714866
2022/07/05 19:32:47,1,2022/07/05 19:32:47,70367,279.5,47.991418,7.845428,0.7,25.42,-1.3,39.3,0.376,13.023,276.414794921875,25.41619616699219,0.6961961669921883
2022/07/05 19:33:01,1,2022/07/05 19:33:01,70381,280.2,47.992095,7.84539,0.74,25.42,-1.6,39.2,0.284,12.977,278.388031005859,25.429022201538086,0.7490222015380839
2022/07/05 19:33:29,1,2022/07/05 19:33:29,70408,293.2,47.992115,7.846942,0.74,25.42,-0.9,39.9,0.515,13.208,282.603179931641,25.45642066955567,0.7764206695556675
2022/07/05 19:33:38,1,2022/07/05 19:33:38,70418,294.7,47.992098,7.84748,0.84,25.52,-0.6,40.2,0.711,13.404,282.703094482422,25.557070114135744,0.8770701141357443
2022/07/05 19:33:47,1,2022/07/05 19:33:47,70427,295.1,47.992152,7.847822,0.74,25.42,-0.5,40.3,0.654,13.347,283.795227050781,25.464168975830077,0.7841689758300754
2022/07/05 19:33:56,1,2022/07/05 19:33:56,70436,295.5,47.992317,7.848002,0.64,25.32,-0.5,40.3,0.573,13.266,284.099700927734,25.366148056030273,0.6861480560302725
2022/07/05 19:34:10,1,2022/07/05 19:34:10,70450,296.5,47.992465,7.848352,0.75,25.42,-0.1,40.6,0.813,13.439,285.224975585938,25.4734623413086,0.8034623413085988
2022/07/05 19:34:38,1,2022/07/05 19:34:38,70478,297.0,47.991468,7.848522,0.75,25.42,-0.1,40.5,0.79,13.416,283.586273193359,25.462810775756836,0.7928107757568341
2022/07/05 19:34:47,1,2022/07/05 19:34:47,70487,297.7,47.991118,7.848532,0.75,25.42,-0.0,40.7,0.836,13.462,282.982086181641,25.45888356018067,0.7888835601806683
2022/07/05 19:34:56,1,2022/07/05 19:34:56,70496,298.3,47.99082,7.84853,0.75,25.42,0.3,41.0,0.928,13.555,281.369537353516,25.448401992797855,0.7784019927978534
2022/07/05 19:35:02,1,2022/07/05 19:35:02,70502,298.0,47.990835,7.848545,0.78,25.42,0.4,41.2,0.984,13.624,281.369537353516,25.448401992797855,0.8084019927978534
2022/07/05 19:35:11,1,2022/07/05 19:35:11,70511,298.1,47.990837,7.848545,0.78,25.42,0.5,41.3,1.03,13.67,281.369537353516,25.448401992797855,0.8084019927978534
2022/07/05 19:35:44,1,2022/07/05 19:35:44,70544,302.9,47.991277,7.848445,0.78,25.42,0.7,41.5,1.099,13.74,282.555389404297,25.45611003112793,0.8161100311279295
2022/07/05 19:35:51,1,2022/07/05 19:35:51,70550,305.2,47.991603,7.84847,0.68,25.32,0.2,41.0,0.856,13.496,283.671478271484,25.363364608764645,0.7233646087646445
2022/07/05 19:35:57,1,2022/07/05 19:35:57,70556,305.9,47.991835,7.8485,0.68,25.32,0.0,40.8,0.787,13.427,284.592651367188,25.369352233886723,0.7293522338867223
2022/07/05 19:36:06,1,2022/07/05 19:36:06,70566,309.3,47.992135,7.848505,0.71,25.32,-0.1,40.9,0.756,13.45,285.064331054688,25.372418151855474,0.7624181518554733
2022/07/05 19:36:15,1,2022/07/05 19:36:15,70575,309.1,47.992332,7.848647,0.71,25.32,-0.1,40.9,0.756,13.45,285.538757324219,25.375501922607423,0.7655019226074229
2022/07/05 19:36:43,1,2022/07/05 19:36:43,70603,303.6,47.992113,7.849805,0.6,25.21,-0.3,40.8,0.63,13.323,284.275054931641,25.25728785705567,0.647287857055668
2022/07/05 19:36:52,1,2022/07/05 19:36:52,70612,304.1,47.992088,7.850458,0.6,25.21,0.3,41.3,0.812,13.506,283.651641845703,25.25323567199707,0.6432356719970705
2022/07/05 19:37:01,1,2022/07/05 19:37:01,70621,300.8,47.992067,7.850988,0.53,25.11,0.4,41.6,0.777,13.516,283.890716552734,25.15478965759277,0.5747896575927693
2022/07/05 19:37:10,1,2022/07/05 19:37:10,70630,293.9,47.99203,7.851527,0.53,25.11,0.5,41.7,0.822,13.561,284.947418212891,25.161658218383792,0.5816582183837926
2022/07/05 19:37:16,1,2022/07/05 19:37:16,70636,291.2,47.992028,7.85186,0.43,25.01,0.4,41.6,0.695,13.434,285.569641113281,25.065702667236327,0.485702667236325
2022/07/05 19:37:42,1,2022/07/05 19:37:42,70661,288.0,47.992018,7.853127,0.43,25.01,0.1,41.3,0.605,13.344,286.488372802734,25.07167442321777,0.49167442321777016
2022/07/05 19:37:48,1,2022/07/05 19:37:48,70667,288.2,47.992013,7.853207,0.43,25.01,0.6,41.8,0.763,13.502,286.579162597656,25.072264556884765,0.49226455688476306
2022/07/05 19:37:57,1,2022/07/05 19:37:57,70676,288.2,47.992012,7.853197,0.43,25.01,0.7,41.9,0.786,13.524,286.579162597656,25.072264556884765,0.49226455688476306
2022/07/05 19:38:06,1,2022/07/05 19:38:06,70686,288.3,47.992013,7.8532,0.46,25.01,0.8,42.0,0.852,13.569,286.579162597656,25.072264556884765,0.522264556884763
2022/07/05 19:38:15,1,2022/07/05 19:38:15,70695,288.2,47.992017,7.8532,0.46,25.01,0.9,42.1,0.875,13.592,286.579162597656,25.072264556884765,0.522264556884763
2022/07/05 19:38:48,1,2022/07/05 19:38:48,70727,289.2,47.991698,7.854403,0.15,24.7,2.2,43.5,1.051,13.768,287.405029296875,24.767632690429686,0.21763269042968644
2022/07/05 19:38:57,1,2022/07/05 19:38:57,70737,290.2,47.992102,7.854422,0.15,24.7,1.9,43.1,0.94,13.657,288.929077148438,24.777539001464845,0.22753900146484582
2022/07/05 19:39:06,1,2022/07/05 19:39:06,70746,291.7,47.992497,7.85437,0.06,24.6,2.7,44.1,1.137,13.883,290.222564697266,24.685946670532232,0.14594667053223048
2022/07/05 19:39:15,1,2022/07/05 19:39:15,70755,291.5,47.99281,7.85451,-0.14,24.4,1.6,43.0,0.621,13.367,295.934844970703,24.523076492309567,-0.016923507690431605
2022/07/05 19:39:29,1,2022/07/05 19:39:29,70769,290.8,47.993263,7.854973,-0.24,24.29,1.5,42.9,0.497,13.243,301.085601806641,24.446556411743167,-0.08344358825683229
2022/07/05 19:39:57,1,2022/07/05 19:39:57,70797,291.0,47.994252,7.856035,-0.35,24.19,3.2,44.5,0.932,13.678,302.757202148438,24.357421813964848,-0.1825781860351533
2022/07/05 19:40:06,1,2022/07/05 19:40:06,70806,290.2,47.994673,7.856415,-0.33,24.19,3.2,44.8,0.953,13.764,299.07470703125,24.333485595703127,-0.186514404296874
2022/07/05 19:40:15,1,2022/07/05 19:40:15,70815,288.3,47.995103,7.8568,-0.43,24.09,3.6,45.2,0.976,13.787,294.037658691406,24.20074478149414,-0.3192552185058591
2022/07/05 19:40:24,1,2022/07/05 19:40:24,70823,283.4,47.9955,7.857242,-0.54,23.99,4.1,45.7,1.041,13.852,292.033569335938,24.087718200683597,-0.4422817993164019
2022/07/05 19:40:33,1,2022/07/05 19:40:33,70833,281.8,47.995783,7.857673,-0.54,23.99,3.5,45.1,0.871,13.682,292.270660400391,24.08925929260254,-0.44074070739745697
2022/07/05 19:40:58,1,2022/07/05 19:40:58,70858,280.7,47.996498,7.858113,-0.64,23.88,5.3,46.9,1.316,14.127,281.948272705078,23.912163772583007,-0.6078362274169921
2022/07/05 19:41:05,1,2022/07/05 19:41:05,70865,279.5,47.996615,7.85807,-0.71,23.78,6.0,47.9,1.473,14.355,279.675384521484,23.797389999389647,-0.6926100006103537
2022/07/05 19:41:12,1,2022/07/05 19:41:12,70872,281.8,47.996635,7.858068,-0.82,23.68,5.6,47.5,1.261,14.143,279.675384521484,23.697389999389646,-0.8026100006103537
2022/07/05 19:41:18,1,2022/07/05 19:41:18,70878,281.9,47.996635,7.858073,-0.71,23.78,5.7,47.7,1.389,14.271,279.675384521484,23.797389999389647,-0.6926100006103537
2022/07/05 19:41:27,1,2022/07/05 19:41:27,70887,281.9,47.996635,7.85807,-0.71,23.78,5.8,47.7,1.41,14.292,279.675384521484,23.797389999389647,-0.6926100006103537
2022/07/05 19:41:55,1,2022/07/05 19:41:55,70915,282.3,47.996207,7.857707,-0.82,23.68,5.0,47.0,1.094,13.976,283.917327880859,23.724962631225583,-0.7750373687744162
