Time_UTC,System_ID,Time_UTC,Seconds_in_day,Altitude,Latitude,Longitude,Temperature_diff_K,Absolute_temperature_degC,Relhumidity_diff_percent,Relhumidity_percent,Vapourpressure_diff_hPa,Vapourpressure_hPa,GPS_Altitude,T_adjusted,T_diff_adjusted
6/29/2022 19:32,1,6/29/2022 19:32,70371,292.1,47.993525,7.845168,0.02,24.6,8.1,64.2,2.878,20.225,282.6882019,24.63697331235,0.05697331234999979
6/29/2022 19:33,1,6/29/2022 19:33,70381,293.6,47.993805,7.845362,-0.01,24.5,8.1,64.2,2.843,20.102,283.725647,24.5437167055,0.03371670549999962
6/29/2022 19:33,1,6/29/2022 19:33,70386,294.6,47.994033,7.845457,-0.01,24.5,8.1,64.2,2.843,20.102,283.5922852,24.5428498538,0.03284985379999995
6/29/2022 19:33,1,6/29/2022 19:33,70396,294.8,47.994367,7.845562,-0.01,24.5,8.0,64.2,2.821,20.08,283.5026245,24.54226705925,0.03226705925000118
6/29/2022 19:33,1,6/29/2022 19:33,70423,283.2,47.995337,7.845955,-0.01,24.5,8.0,64.2,2.821,20.08,282.921936,24.538492584,0.028492584000000105
6/29/2022 19:33,1,6/29/2022 19:33,70430,283.7,47.995392,7.846003,-0.01,24.5,8.0,64.1,2.799,20.058,283.3870544,24.5415158536,0.031515853599999984
6/29/2022 19:33,1,6/29/2022 19:33,70437,284.1,47.995395,7.845998,-0.01,24.5,8.1,64.2,2.843,20.102,283.3870544,24.5415158536,0.031515853599999984
6/29/2022 19:34,1,6/29/2022 19:34,70451,284.8,47.995563,7.84604,0.05,24.5,7.6,64.1,2.752,20.058,283.3870544,24.5415158536,0.09151585359999999
6/29/2022 19:34,1,6/29/2022 19:34,70459,285.7,47.995935,7.846192,0.15,24.6,7.5,64.0,2.83,20.137,283.2872925,24.640867401250002,0.19086740125000076
6/29/2022 19:34,1,6/29/2022 19:34,70493,281.9,47.996637,7.846692,0.25,24.7,7.3,63.8,2.909,20.216,282.4299927,24.73529495255,0.28529495255000015
6/29/2022 19:35,1,6/29/2022 19:35,70502,281.6,47.996637,7.846988,0.37,24.8,7.0,63.7,2.967,20.294,282.3912048,24.8350428312,0.4050428311999984
6/29/2022 19:35,1,6/29/2022 19:35,70511,281.9,47.9964,7.847385,0.37,24.8,6.8,63.4,2.878,20.205,282.9363098,24.838586013700002,0.4085860137000016
6/29/2022 19:35,1,6/29/2022 19:35,70519,282.4,47.99622,7.847748,0.48,24.91,6.7,63.3,2.979,20.306,284.3071289,24.95749633785,0.5274963378499993
6/29/2022 19:35,1,6/29/2022 19:35,70529,283.7,47.996063,7.848145,0.48,24.91,6.3,62.9,2.844,20.171,284.3265991,24.95762289415,0.527622894149999
6/29/2022 19:35,1,6/29/2022 19:35,70556,284.2,47.99604,7.849317,0.58,25.01,6.1,62.7,2.922,20.249,284.4746094,25.058584961100003,0.6285849611000013
6/29/2022 19:36,1,6/29/2022 19:36,70566,287.3,47.99637,7.849373,0.63,25.01,6.1,62.6,2.949,20.204,283.1917419,25.050246322350002,0.6702463223500007
6/29/2022 19:36,1,6/29/2022 19:36,70575,292.5,47.996668,7.84938,0.63,25.01,5.8,62.3,2.858,20.114,282.4983215,25.04573908975,0.665739089749999
6/29/2022 19:36,1,6/29/2022 19:36,70581,301.6,47.996785,7.849413,0.63,25.01,5.7,62.2,2.836,20.091,282.195282,25.043769333,0.6637693329999986
6/29/2022 19:36,1,6/29/2022 19:36,70590,303.1,47.99679,7.8494,0.63,25.01,5.7,62.2,2.836,20.091,282.195282,25.043769333,0.6637693329999986
6/29/2022 19:36,1,6/29/2022 19:36,70618,306.2,47.997222,7.849568,0.63,25.01,5.7,62.2,2.836,20.091,280.5102234,25.0328164521,0.652816452099999
6/29/2022 19:37,1,6/29/2022 19:37,70624,307.0,47.997205,7.849833,0.66,25.01,5.5,62.4,2.828,20.136,280.8452759,25.034994293350003,0.6849942933500016
6/29/2022 19:37,1,6/29/2022 19:37,70630,306.8,47.997167,7.850038,0.77,25.11,5.0,61.9,2.792,20.1,281.7008972,25.1405558318,0.800555831800001
6/29/2022 19:37,1,6/29/2022 19:37,70639,307.9,47.997062,7.850373,0.77,25.11,4.5,61.3,2.61,19.918,282.2402344,25.144061523599998,0.8040615235999984
6/29/2022 19:37,1,6/29/2022 19:37,70649,310.5,47.997003,7.850748,0.87,25.21,4.2,61.0,2.64,19.948,284.0774536,25.2560034484,0.9160034484000005
6/29/2022 19:40,1,6/29/2022 19:40,70842,298.9,48.000892,7.853965,1.23,25.42,4.9,61.8,3.273,20.469,278.6913452,25.430993743800002,1.2409937438000003
6/29/2022 19:40,1,6/29/2022 19:40,70848,293.9,48.00093,7.853995,0.71,24.91,6.7,63.7,3.245,20.441,278.3182068,24.9185683442,0.7185683442000004
6/29/2022 19:40,1,6/29/2022 19:40,70854,296.0,48.00093,7.85399,0.71,24.91,6.8,63.8,3.267,20.463,278.6913452,24.9209937438,0.7209937438000003
6/29/2022 19:41,1,6/29/2022 19:41,70861,295.2,48.00093,7.85399,0.66,24.8,6.6,63.8,3.124,20.339,278.6913452,24.8109937438,0.6709937438000003
6/29/2022 19:41,1,6/29/2022 19:41,70887,295.0,48.000925,7.853988,0.66,24.8,6.8,64.0,3.191,20.406,278.6913452,24.8109937438,0.6709937438000003
6/29/2022 19:41,1,6/29/2022 19:41,70896,293.9,48.001062,7.854047,0.56,24.7,6.9,64.2,3.112,20.326,276.9299622,24.6995447543,0.5595447543000005
6/29/2022 19:41,1,6/29/2022 19:41,70904,293.9,48.001488,7.854225,0.46,24.6,7.1,64.3,3.032,20.247,275.816803,24.592309219500002,0.45230921950000097
6/29/2022 19:41,1,6/29/2022 19:41,70913,292.7,48.001903,7.854392,0.46,24.6,7.2,64.4,3.077,20.291,274.3949585,24.583067230250002,0.44306723025000055
6/29/2022 19:42,1,6/29/2022 19:42,70919,290.8,48.00203,7.854435,0.25,24.4,7.4,64.6,2.874,20.089,274.043457,24.380782470499998,0.23078247049999945
