System_ID,Time_UTC,Seconds_in_day,Altitude,Latitude,Longitude,Temperature_diff_K,Absolute_temperature_degC,Relhumidity_diff_percent,Relhumidity_percent,Vapourpressure_diff_hPa,Vapourpressure_hPa,GPS_Altitude
1,05/07/2022 19:31,70283,259.5,47.992228,7.84513,0.78,25.52,-1,39.9,0.542,13.288,278.0302429
1,05/07/2022 19:31,70293,265.6,47.99179,7.845193,0.78,25.52,-1.5,39.4,0.379,13.125,277.6509094
1,05/07/2022 19:31,70304,273.3,47.991285,7.845225,0.78,25.52,-1.3,39.6,0.449,13.195,275.7305603
1,05/07/2022 19:31,70311,276.1,47.991112,7.845173,0.68,25.42,-1.3,39.6,0.346,13.092,275.7305603
1,05/07/2022 19:32,70319,277.1,47.99111,7.84518,0.68,25.42,-1.2,39.6,0.37,13.116,275.7305603
1,05/07/2022 19:32,70348,278.7,47.990903,7.845107,0.7,25.42,-1,39.6,0.469,13.116,273.778656
1,05/07/2022 19:32,70354,279.6,47.99088,7.845237,0.7,25.42,-1.3,39.3,0.376,13.023,274.874939
1,05/07/2022 19:32,70361,279.4,47.991052,7.84541,0.7,25.42,-1.4,39.2,0.33,12.977,274.874939
1,05/07/2022 19:32,70367,279.5,47.991418,7.845428,0.7,25.42,-1.3,39.3,0.376,13.023,276.4147949
1,05/07/2022 19:33,70381,280.2,47.992095,7.84539,0.74,25.42,-1.6,39.2,0.284,12.977,278.388031
1,05/07/2022 19:33,70408,293.2,47.992115,7.846942,0.74,25.42,-0.9,39.9,0.515,13.208,282.6031799
1,05/07/2022 19:33,70418,294.7,47.992098,7.84748,0.84,25.52,-0.6,40.2,0.711,13.404,282.7030945
1,05/07/2022 19:33,70427,295.1,47.992152,7.847822,0.74,25.42,-0.5,40.3,0.654,13.347,283.7952271
1,05/07/2022 19:33,70436,295.5,47.992317,7.848002,0.64,25.32,-0.5,40.3,0.573,13.266,284.0997009
1,05/07/2022 19:34,70450,296.5,47.992465,7.848352,0.75,25.42,-0.1,40.6,0.813,13.439,285.2249756
1,05/07/2022 19:34,70478,297,47.991468,7.848522,0.75,25.42,-0.1,40.5,0.79,13.416,283.5862732
1,05/07/2022 19:34,70487,297.7,47.991118,7.848532,0.75,25.42,0,40.7,0.836,13.462,282.9820862
1,05/07/2022 19:34,70496,298.3,47.99082,7.84853,0.75,25.42,0.3,41,0.928,13.555,281.3695374
1,05/07/2022 19:35,70502,298,47.990835,7.848545,0.78,25.42,0.4,41.2,0.984,13.624,281.3695374
1,05/07/2022 19:35,70511,298.1,47.990837,7.848545,0.78,25.42,0.5,41.3,1.03,13.67,281.3695374
1,05/07/2022 19:35,70544,302.9,47.991277,7.848445,0.78,25.42,0.7,41.5,1.099,13.74,282.5553894
1,05/07/2022 19:35,70550,305.2,47.991603,7.84847,0.68,25.32,0.2,41,0.856,13.496,283.6714783
1,05/07/2022 19:35,70556,305.9,47.991835,7.8485,0.68,25.32,0,40.8,0.787,13.427,284.5926514
1,05/07/2022 19:36,70566,309.3,47.992135,7.848505,0.71,25.32,-0.1,40.9,0.756,13.45,285.0643311
1,05/07/2022 19:36,70575,309.1,47.992332,7.848647,0.71,25.32,-0.1,40.9,0.756,13.45,285.5387573
1,05/07/2022 19:36,70603,303.6,47.992113,7.849805,0.6,25.21,-0.3,40.8,0.63,13.323,284.2750549
1,05/07/2022 19:36,70612,304.1,47.992088,7.850458,0.6,25.21,0.3,41.3,0.812,13.506,283.6516418
1,05/07/2022 19:37,70621,300.8,47.992067,7.850988,0.53,25.11,0.4,41.6,0.777,13.516,283.8907166
1,05/07/2022 19:37,70630,293.9,47.99203,7.851527,0.53,25.11,0.5,41.7,0.822,13.561,284.9474182
1,05/07/2022 19:37,70636,291.2,47.992028,7.85186,0.43,25.01,0.4,41.6,0.695,13.434,285.5696411
1,05/07/2022 19:37,70661,288,47.992018,7.853127,0.43,25.01,0.1,41.3,0.605,13.344,286.4883728
1,05/07/2022 19:37,70667,288.2,47.992013,7.853207,0.43,25.01,0.6,41.8,0.763,13.502,286.5791626
1,05/07/2022 19:37,70676,288.2,47.992012,7.853197,0.43,25.01,0.7,41.9,0.786,13.524,286.5791626
1,05/07/2022 19:38,70686,288.3,47.992013,7.8532,0.46,25.01,0.8,42,0.852,13.569,286.5791626
1,05/07/2022 19:38,70695,288.2,47.992017,7.8532,0.46,25.01,0.9,42.1,0.875,13.592,286.5791626
1,05/07/2022 19:38,70727,289.2,47.991698,7.854403,0.15,24.7,2.2,43.5,1.051,13.768,287.4050293
1,05/07/2022 19:38,70737,290.2,47.992102,7.854422,0.15,24.7,1.9,43.1,0.94,13.657,288.9290771
1,05/07/2022 19:39,70746,291.7,47.992497,7.85437,0.06,24.6,2.7,44.1,1.137,13.883,290.2225647
1,05/07/2022 19:39,70755,291.5,47.99281,7.85451,-0.14,24.4,1.6,43,0.621,13.367,295.934845
1,05/07/2022 19:39,70769,290.8,47.993263,7.854973,-0.24,24.29,1.5,42.9,0.497,13.243,301.0856018
1,05/07/2022 19:39,70797,291,47.994252,7.856035,-0.35,24.19,3.2,44.5,0.932,13.678,302.7572021
1,05/07/2022 19:40,70806,290.2,47.994673,7.856415,-0.33,24.19,3.2,44.8,0.953,13.764,299.074707
1,05/07/2022 19:40,70815,288.3,47.995103,7.8568,-0.43,24.09,3.6,45.2,0.976,13.787,294.0376587
1,05/07/2022 19:40,70823,283.4,47.9955,7.857242,-0.54,23.99,4.1,45.7,1.041,13.852,292.0335693
1,05/07/2022 19:40,70833,281.8,47.995783,7.857673,-0.54,23.99,3.5,45.1,0.871,13.682,292.2706604
1,05/07/2022 19:40,70858,280.7,47.996498,7.858113,-0.64,23.88,5.3,46.9,1.316,14.127,281.9482727
1,05/07/2022 19:41,70865,279.5,47.996615,7.85807,-0.71,23.78,6,47.9,1.473,14.355,279.6753845
1,05/07/2022 19:41,70872,281.8,47.996635,7.858068,-0.82,23.68,5.6,47.5,1.261,14.143,279.6753845
1,05/07/2022 19:41,70878,281.9,47.996635,7.858073,-0.71,23.78,5.7,47.7,1.389,14.271,279.6753845
1,05/07/2022 19:41,70887,281.9,47.996635,7.85807,-0.71,23.78,5.8,47.7,1.41,14.292,279.6753845
1,05/07/2022 19:41,70915,282.3,47.996207,7.857707,-0.82,23.68,5,47,1.094,13.976,283.9173279
1,05/07/2022 19:42,70920,282.2,47.995993,7.857478,-0.59,23.88,4.3,46.4,1.054,13.979,287.6563416
1,05/07/2022 19:42,70927,283.3,47.99578,7.857225,-0.59,23.88,4.5,46.6,1.118,14.042,287.9764404
1,05/07/2022 19:42,70934,284.6,47.995562,7.857022,-0.59,23.88,4.2,46.3,1.033,13.958,288.2277527
1,05/07/2022 19:42,70942,285.8,47.995243,7.856707,-0.49,23.99,3.6,45.7,0.928,13.852,289.2919617
1,05/07/2022 19:42,70971,288.1,47.994367,7.855882,-0.49,23.99,3.6,45.7,0.928,13.852,299.0667725
1,05/07/2022 19:43,70983,289.2,47.994007,7.855483,-0.48,23.99,3.3,45.6,0.862,13.831,297.1980591
1,05/07/2022 19:43,70989,289.4,47.9938,7.85529,-0.48,23.99,3,45.3,0.756,13.725,300.9111023
1,05/07/2022 19:43,70998,291.5,47.993542,7.854917,-0.48,23.99,2.8,45.1,0.713,13.682,298.8291931
1,05/07/2022 19:43,71007,292.1,47.99331,7.854603,-0.37,24.09,3.2,45.5,0.904,13.873,295.5560608
1,05/07/2022 19:44,71054,293.4,47.993407,7.853977,-0.35,24.09,3.1,45.7,0.885,13.958,290.6317444
1,05/07/2022 19:44,71061,293.6,47.993578,7.853878,-0.25,24.19,2.8,45.5,0.906,13.979,290.4696655
1,05/07/2022 19:44,71071,293.9,47.993787,7.853797,-0.25,24.19,2.6,45.2,0.82,13.893,290.6773071
1,05/07/2022 19:44,71076,292.8,47.993938,7.853752,-0.15,24.29,2.1,44.8,0.775,13.848,290.8022766
1,05/07/2022 19:44,71086,290.2,47.994175,7.853698,-0.04,24.4,1.7,44.4,0.729,13.802,290.1920776
1,05/07/2022 19:45,71113,297.2,47.994995,7.853898,0.18,24.6,1.4,44,0.818,13.861,285.191803
1,05/07/2022 19:45,71126,293.1,47.995092,7.85398,0.18,24.6,1.5,44.1,0.84,13.883,285.191803
1,05/07/2022 19:45,71132,293,47.99509,7.853982,0.28,24.7,1.6,44.2,0.969,14.012,285.191803
1,05/07/2022 19:45,71141,291.6,47.995153,7.85405,0.28,24.7,0.9,43.5,0.748,13.79,285.191803
1,05/07/2022 19:45,71149,289.3,47.995448,7.854058,0.28,24.7,0.3,43,0.57,13.613,284.1565552
1,05/07/2022 19:46,71178,288.7,47.996488,7.854078,0.32,24.7,-0.2,42.8,0.439,13.569,284.5663452
1,05/07/2022 19:46,71184,288,47.996695,7.854072,0.32,24.7,-1.1,41.9,0.15,13.281,284.4611816
1,05/07/2022 19:46,71191,284.3,47.996878,7.854203,0.42,24.8,-1.2,41.8,0.209,13.339,283.7795105
1,05/07/2022 19:46,71200,283.1,47.996843,7.854645,0.42,24.8,-1.1,41.9,0.231,13.361,283.0960999
1,05/07/2022 19:46,71206,283.1,47.996797,7.855003,0.42,24.8,-1.3,41.8,0.187,13.317,282.2168274
1,05/07/2022 19:47,71231,281.1,47.997162,7.856027,0.35,24.7,-1.2,42.2,0.13,13.369,280.0724792
1,05/07/2022 19:47,71241,281.7,47.997177,7.856117,0.35,24.7,-1.2,42.2,0.13,13.369,279.4605103
1,05/07/2022 19:47,71246,281.6,47.997173,7.856118,0.24,24.6,-1.2,42.2,0.049,13.288,279.4605103
1,05/07/2022 19:47,71256,281.6,47.997172,7.856118,0.24,24.6,-0.8,42.6,0.181,13.42,279.4605103
1,05/07/2022 19:47,71273,281.7,47.997173,7.856117,0.24,24.6,-0.8,42.7,0.203,13.442,279.4605103
1,05/07/2022 19:48,71297,281.6,47.997495,7.856408,-0.05,24.29,0.1,43.8,0.222,13.524,278.7380676
1,05/07/2022 19:48,71306,280.2,47.997732,7.856628,-0.25,24.09,0.6,44.3,0.229,13.531,278.6277161
1,05/07/2022 19:48,71316,278,47.997963,7.856687,-0.35,23.99,0.9,44.6,0.211,13.513,278.8080139
1,05/07/2022 19:48,71325,277.5,47.998215,7.856695,-0.56,23.78,2.4,46,0.487,13.789,279.0267334
1,05/07/2022 19:48,71334,276.2,47.998363,7.856842,-0.56,23.78,3,46.7,0.676,13.978,278.9038086
1,05/07/2022 19:49,71358,276.3,47.998702,7.8574,-0.63,23.68,3.9,47.7,0.892,14.205,279.2719421
1,05/07/2022 19:49,71365,275,47.998762,7.857672,-0.94,23.37,4.8,48.6,0.879,14.193,279.2719421
1,05/07/2022 19:49,71371,275.2,47.998742,7.857922,-1.14,23.17,5.2,49,0.807,14.121,279.2388611
